date,tb-night
2022-09-14,290.979993
2022-09-15,288.869994
2022-09-16,294.929993
2022-09-17,297.119993
2022-09-18,289.899994
2022-09-19,290.359994
2022-09-20,287.999994
2022-09-21,291.079993
2022-09-22,291.539993
2022-09-23,288.459994
2022-09-24,290.179994
2022-09-25,291.709993
2022-09-26,290.009994
2022-09-27,288.129994
2022-09-28,290.879993
2022-09-29,-9999
2022-09-30,-9999
2022-10-01,296.699993
2022-10-02,297.439993
2022-10-03,293.489993
2022-10-04,290.929993
2022-10-05,291.299993
2022-10-06,292.139993
2022-10-07,290.629994
2022-10-08,287.379994
2022-10-09,291.439993
2022-10-10,292.089993
2022-10-11,293.659993
2022-10-12,288.819994
2022-10-13,288.169994
2022-10-14,287.209994
2022-10-15,281.409994
2022-10-16,290.359994
2022-10-17,289.859994
2022-10-18,293.299993
2022-10-19,274.949994
2022-10-20,281.669994
2022-10-21,289.579994
2022-10-22,287.099994
2022-10-23,282.889994
2022-10-24,288.419994
2022-10-25,281.909994
2022-10-26,284.339994
2022-10-27,292.549993
2022-10-28,253.129994
2022-10-29,287.799994
2022-10-30,290.659994
2022-10-31,286.089994
2022-11-01,287.749994
2022-11-02,288.349994
2022-11-03,288.849994
2022-11-04,288.049994
2022-11-05,284.159994
2022-11-06,285.869994
2022-11-07,242.269995
2022-11-08,282.229994
2022-11-09,278.849994
2022-11-10,287.549994
2022-11-11,283.129994
2022-11-12,282.069994
2022-11-13,284.939994
2022-11-14,286.359994
2022-11-15,275.129994
2022-11-16,249.969994
2022-11-17,277.929994
2022-11-18,282.119994
2022-11-19,291.409993
2022-11-20,228.539995
2022-11-21,226.189995
2022-11-22,289.699994
2022-11-23,243.949995
2022-11-24,238.119995
2022-11-25,263.399994
2022-11-26,239.799995
2022-11-27,263.389994
2022-11-28,247.259994
2022-11-29,272.509994
2022-11-30,284.459994
2022-12-01,283.279994
2022-12-02,283.999994
2022-12-03,267.809994
2022-12-04,281.609994
2022-12-05,275.019994
2022-12-06,280.979994
2022-12-07,279.219994
2022-12-08,233.059995
2022-12-09,275.219994
2022-12-10,284.979994
2022-12-11,231.209995
2022-12-12,244.529995
2022-12-13,223.789995
2022-12-14,278.499994
2022-12-15,285.019994
2022-12-16,285.559994
2022-12-17,284.949994
2022-12-18,272.479994
2022-12-19,271.869994
2022-12-20,286.449994
2022-12-21,279.879994
2022-12-22,246.989994
2022-12-23,271.499994
2022-12-24,270.399994
2022-12-25,230.279995
2022-12-26,274.129994
2022-12-27,277.219994
2022-12-28,280.589994
2022-12-29,272.059994
2022-12-30,273.839994
2022-12-31,277.449994
2023-01-01,260.309994
2023-01-02,274.239994
2023-01-03,261.289994
2023-01-04,276.589994
2023-01-05,271.719994
2023-01-06,276.259994
2023-01-07,278.199994
2023-01-08,269.379994
2023-01-09,274.659994
2023-01-10,279.889994
2023-01-11,263.559994
2023-01-12,256.579994
2023-01-13,243.239995
2023-01-14,270.689994
2023-01-15,257.829994
2023-01-16,273.129994
2023-01-17,276.769994
2023-01-18,275.479994
2023-01-19,268.629994
2023-01-20,267.289994
2023-01-21,274.879994
2023-01-22,268.659994
2023-01-23,277.829994
2023-01-24,272.729994
2023-01-25,281.929994
2023-01-26,272.099994
2023-01-27,247.959994
2023-01-28,281.829994
2023-01-29,277.839994
2023-01-30,246.489994
2023-01-31,253.999994
2023-02-01,265.059994
2023-02-02,272.739994
2023-02-03,237.609995
2023-02-04,262.839994
2023-02-05,265.659994
2023-02-06,-9999
2023-02-07,252.599994
2023-02-08,262.459994
2023-02-09,253.849994
2023-02-10,271.869994
2023-02-11,266.859994
2023-02-12,273.079994
2023-02-13,273.739994
2023-02-14,273.909994
2023-02-15,269.709994
2023-02-16,274.279994
2023-02-17,274.969994
2023-02-18,271.149994
2023-02-19,268.829994
2023-02-20,275.919994
2023-02-21,279.219994
2023-02-22,277.159994
2023-02-23,275.179994
2023-02-24,274.599994
2023-02-25,282.479994
2023-02-26,271.149994
2023-02-27,284.899994
2023-02-28,278.949994
2023-03-01,263.669994
2023-03-02,270.079994
2023-03-03,283.459994
2023-03-04,281.429994
2023-03-05,282.599994
2023-03-06,278.169994
2023-03-07,226.769995
2023-03-08,275.439994
2023-03-09,274.519994
2023-03-10,273.799994
2023-03-11,254.979994
2023-03-12,245.339995
2023-03-13,240.679995
2023-03-14,227.049995
2023-03-15,275.189994
2023-03-16,240.859995
2023-03-17,269.879994
2023-03-18,-9999
2023-03-19,268.229994
2023-03-20,280.179994
2023-03-21,212.909995
2023-03-22,216.299995
2023-03-23,253.339994
2023-03-24,237.169995
2023-03-25,280.299994
2023-03-26,276.209994
2023-03-27,281.229994
2023-03-28,282.289994
2023-03-29,270.609994
2023-03-30,264.969994
2023-03-31,275.619994
2023-04-01,280.529994
2023-04-02,278.849994
2023-04-03,282.279994
2023-04-04,280.989994
2023-04-05,277.679994
2023-04-06,280.229994
2023-04-07,265.939994
2023-04-08,220.579995
2023-04-09,221.699995
2023-04-10,278.489994
2023-04-11,271.319994
2023-04-12,254.729994
2023-04-13,280.599994
2023-04-14,270.149994
2023-04-15,281.999994
2023-04-16,282.849994
2023-04-17,286.679994
2023-04-18,281.429994
2023-04-19,242.759995
2023-04-20,283.269994
2023-04-21,253.859994
2023-04-22,278.349994
2023-04-23,283.009994
2023-04-24,284.879994
2023-04-25,279.579994
2023-04-26,261.229994
2023-04-27,277.749994
2023-04-28,276.079994
2023-04-29,274.519994
2023-04-30,282.209994
2023-05-01,264.809994
2023-05-02,283.069994
2023-05-03,273.649994
2023-05-04,291.229993
2023-05-05,282.389994
2023-05-06,268.809994
2023-05-07,281.249994
2023-05-08,286.429994
2023-05-09,278.259994
2023-05-10,284.829994
2023-05-11,266.319994
2023-05-12,284.579994
2023-05-13,284.789994
2023-05-14,252.139994
2023-05-15,281.769994
2023-05-16,277.209994
2023-05-17,288.839994
2023-05-18,257.669994
2023-05-19,284.069994
2023-05-20,256.829994
2023-05-21,240.159995
2023-05-22,288.469994
2023-05-23,286.999994
2023-05-24,272.559994
2023-05-25,288.849994
2023-05-26,281.359994
2023-05-27,224.399995
2023-05-28,286.129994
2023-05-29,288.359994
2023-05-30,286.839994
2023-05-31,286.919994
2023-06-01,214.319995
2023-06-02,279.159994
2023-06-03,287.609994
2023-06-04,287.009994
2023-06-05,288.279994
2023-06-06,288.619994
2023-06-07,268.689994
2023-06-08,223.349995
2023-06-09,288.719994
2023-06-10,290.579994
2023-06-11,274.179994
2023-06-12,288.829994
2023-06-13,288.769994
2023-06-14,289.989994
2023-06-15,290.889993
2023-06-16,290.769994
2023-06-17,287.159994
2023-06-18,286.709994
2023-06-19,285.519994
2023-06-20,290.239994
2023-06-21,290.859993
2023-06-22,291.739993
2023-06-23,288.459994
2023-06-24,-9999
2023-06-25,285.209994
2023-06-26,292.699993
2023-06-27,293.269993
2023-06-28,291.729993
2023-06-29,293.109993
2023-06-30,293.709993
2023-07-01,294.949993
