date,thck
2022-12-09,1.98999996
2022-12-10,-9999
2022-12-11,1.02999998
2022-12-12,9.83999978
2022-12-13,7.88999982
2022-12-14,19.9199996
2022-12-15,23.5399995
2022-12-16,2.99999993
2022-12-17,-9999
2022-12-18,0.549999988
2022-12-19,-9999
2022-12-20,0.649999985
2022-12-21,46.249999
2022-12-22,6.50999985
2022-12-23,5.98999987
2022-12-24,25.1899994
2022-12-25,30.6299993
2022-12-26,108.879998
2022-12-27,10.6899998
2022-12-28,10.2999998
2022-12-29,5.10999989
2022-12-30,6.33999986
2022-12-31,8.7599998
2023-01-01,3.50999992
2023-01-02,14.8399997
2023-01-03,11.3199997
2023-01-04,18.0499996
2023-01-05,30.5299993
2023-01-06,21.8699995
2023-01-07,38.6899991
2023-01-08,6.75999985
2023-01-09,29.4499993
2023-01-10,11.2999997
2023-01-11,2.24999995
2023-01-12,48.0099989
2023-01-13,42.769999
2023-01-14,92.2399979
2023-01-15,47.3199989
2023-01-16,20.9999995
2023-01-17,13.2999997
2023-01-18,7.07999984
2023-01-19,-9999
2023-01-20,-9999
2023-01-21,5.13999989
2023-01-22,-9999
2023-01-23,15.0299997
2023-01-24,2.37999995
2023-01-25,9.97999978
2023-01-26,12.9799997
2023-01-27,-9999
2023-01-28,2.24999995
2023-01-29,15.5099997
2023-01-30,48.5499989
2023-01-31,77.3899983
2023-02-01,92.9799979
2023-02-02,34.8199992
2023-02-03,21.3799995
2023-02-04,39.7599991
2023-02-05,81.4999982
2023-02-06,58.8899987
2023-02-07,45.419999
2023-02-08,36.5799992
2023-02-09,12.7599997
2023-02-10,16.0199996
2023-02-11,10.4999998
2023-02-12,14.3799997
2023-02-13,30.0099993
2023-02-14,11.3999997
2023-02-15,26.4499994
2023-02-16,13.1299997
2023-02-17,8.7599998
2023-02-18,0.679999985
2023-02-19,-9999
2023-02-20,-9999
2023-02-21,4.19999991
2023-02-22,1.92999996
2023-02-23,19.0299996
2023-02-24,18.6299996
2023-02-25,10.2499998
2023-02-26,1.86999996
2023-02-27,3.30999993
2023-02-28,-9999
2023-03-01,9.49999979
2023-03-02,0.399999991
2023-03-03,5.09999989
2023-03-04,2.14999995
2023-03-05,3.41999992
2023-03-06,22.1799995
2023-03-07,-9999
2023-03-08,15.0599997
2023-03-09,4.71999989
2023-03-10,10.8599998
2023-03-11,2.99999993
2023-03-12,-9999
2023-03-13,10.9699998
2023-03-14,-9999
2023-03-15,31.9699993
2023-03-16,2.81999994
2023-03-17,5.89999987
2023-03-18,41.4999991
2023-03-19,15.1899997
2023-03-20,36.7799992
2023-03-21,11.0399998
2023-03-22,-9999
2023-03-23,16.0799996
2023-03-24,4.6799999
2023-03-25,49.0399989
2023-03-26,9.0699998
2023-03-27,11.3199997
2023-03-28,-9999
2023-03-29,24.1899995
2023-03-30,27.4499994
2023-03-31,9.87999978
2023-04-01,4.5199999
2023-04-02,10.9799998
2023-04-03,7.65999983
2023-04-04,-9999
2023-04-05,14.4599997
2023-04-06,2.10999995
2023-04-07,4.4699999
2023-04-08,3.74999992
2023-04-09,6.57999985
2023-04-10,18.7499996
2023-04-11,44.919999
2023-04-12,33.3699993
2023-04-13,58.0999987
2023-04-14,10.5499998
2023-04-15,1.73999996
2023-04-16,6.04999986
2023-04-17,9.38999979
2023-04-18,-9999
2023-04-19,8.49999981
2023-04-20,7.69999983
2023-04-21,6.92999985
2023-04-22,2.48999994
2023-04-23,3.23999993
2023-04-24,-9999
2023-04-25,11.8299997
2023-04-26,12.4499997
2023-04-27,-9999
2023-04-28,16.9499996
2023-04-29,47.1299989
2023-04-30,32.4899993
2023-05-01,7.58999983
2023-05-02,-9999
2023-05-03,-9999
2023-05-04,-9999
2023-05-05,8.9399998
2023-05-06,10.9199998
2023-05-07,17.8099996
2023-05-08,17.8699996
2023-05-09,6.17999986
2023-05-10,7.93999982
2023-05-11,1.30999997
2023-05-12,18.3799996
2023-05-13,-9999
2023-05-14,3.27999993
2023-05-15,1.45999997
2023-05-16,-9999
2023-05-17,1.18999997
2023-05-18,6.49999985
2023-05-19,6.44999986
2023-05-20,14.9799997
2023-05-21,8.66999981
2023-05-22,-9999
2023-05-23,7.18999984
2023-05-24,27.1199994
2023-05-25,1.11999997
2023-05-26,8.00999982
2023-05-27,-9999
2023-05-28,2.94999993
2023-05-29,11.7799997
2023-05-30,13.8899997
2023-05-31,-9999
2023-06-01,4.4599999
2023-06-02,9.1699998
2023-06-03,7.80999983
2023-06-04,10.0099998
2023-06-05,-9999
2023-06-06,-9999
2023-06-07,-9999
2023-06-08,23.4499995
2023-06-09,9.80999978
2023-06-10,-9999
2023-06-11,8.8999998
2023-06-12,14.1499997
2023-06-13,4.74999989
2023-06-14,-9999
2023-06-15,5.61999987
2023-06-16,2.92999993
2023-06-17,-9999
2023-06-18,6.57999985
2023-06-19,16.5699996
2023-06-20,9.66999978
2023-06-21,-9999
2023-06-22,3.08999993
2023-06-23,-9999
2023-06-24,-9999
2023-06-25,-9999
2023-06-26,-9999
2023-06-27,2.57999994
2023-06-28,14.4599997
2023-06-29,5.19999988
2023-06-30,7.36999984
2023-07-01,9.40999979
2023-07-02,5.49999988
2023-07-03,2.08999995
2023-07-04,-9999
2023-07-05,4.3099999
2023-07-06,10.0399998
2023-07-07,6.52999985
2023-07-08,7.79999983
2023-07-09,17.8599996
2023-07-10,15.6299997
2023-07-11,-9999
2023-07-12,-9999
2023-07-13,-9999
2023-07-14,-9999
2023-07-15,1.29999997
2023-07-16,2.09999995
2023-07-17,1.51999997
2023-07-18,-9999
2023-07-19,-9999
2023-07-20,-9999
2023-07-21,1.67999996
2023-07-22,-9999
2023-07-23,-9999
2023-07-24,1.92999996
2023-07-25,0.89999998
2023-07-26,-9999
2023-07-27,-9999
2023-07-28,-9999
2023-07-29,19.8599996
2023-07-30,6.68999985
2023-07-31,8.42999981
2023-08-01,7.00999984
2023-08-02,2.36999995
2023-08-03,17.7299996
2023-08-04,5.16999988
2023-08-05,17.4599996
2023-08-06,-9999
2023-08-07,-9999
2023-08-08,15.6099997
2023-08-09,7.97999982
2023-08-10,24.6499994
2023-08-11,-9999
2023-08-12,-9999
2023-08-13,9.93999978
2023-08-14,20.9099995
2023-08-15,3.37999992
2023-08-16,14.1199997
2023-08-17,8.9399998
2023-08-18,6.32999986
2023-08-19,14.4699997
2023-08-20,12.0899997
