date,vpr
2022-11-22,0.648000031
2022-11-23,1.44400007
2022-11-24,0.989000047
2022-11-25,0.463000022
2022-11-26,0.84700004
2022-11-27,0.0860000041
2022-11-28,0.679000032
2022-11-29,0.131000006
2022-11-30,0.986000047
2022-12-01,0.759000036
2022-12-02,1.05400005
2022-12-03,0.345000016
2022-12-04,1.15400005
2022-12-05,0.597000028
2022-12-06,0.739000035
2022-12-07,0.461000022
2022-12-08,1.38100007
2022-12-09,1.99300009
2022-12-10,0.702000033
2022-12-11,0.751000036
2022-12-12,0.617000029
2022-12-13,0.42700002
2022-12-14,0.41300002
2022-12-15,0.891000042
2022-12-16,1.54700007
2022-12-17,0.961000046
2022-12-18,1.20600006
2022-12-19,0.62200003
2022-12-20,1.10400005
2022-12-21,0.312000015
2022-12-22,0.83700004
2022-12-23,0.705000033
2022-12-24,0.916000044
2022-12-25,0.20600001
2022-12-26,0.196000009
2022-12-27,1.08000005
2022-12-28,0.891000042
2022-12-29,0.660000031
2022-12-30,1.09700005
2022-12-31,0.680000032
2023-01-01,0.22000001
2023-01-02,0.489000023
2023-01-03,0.883000042
2023-01-04,1.14900005
2023-01-05,0.586000028
2023-01-06,0.739000035
2023-01-07,0.767000036
2023-01-08,0.582000028
2023-01-09,0.929000044
2023-01-10,0.694000033
2023-01-11,0.42400002
2023-01-12,0.102000005
2023-01-13,0.377000018
2023-01-14,0.340000016
2023-01-15,0.434000021
2023-01-16,0.565000027
2023-01-17,1.14600005
2023-01-18,1.01100005
2023-01-19,0.484000023
2023-01-20,0.272000013
2023-01-21,0.537000026
2023-01-22,0.514000024
2023-01-23,0.684000032
2023-01-24,1.02000005
2023-01-25,0.699000033
2023-01-26,0.762000036
2023-01-27,0.678000032
2023-01-28,0.585000028
2023-01-29,0.335000016
2023-01-30,0.687000033
2023-01-31,0.395000019
2023-02-01,0.379000018
2023-02-02,0.489000023
2023-02-03,0.662000031
2023-02-04,0.573000027
2023-02-05,0.396000019
2023-02-06,0.331000016
2023-02-07,0.249000012
2023-02-08,0.464000022
2023-02-09,0.440000021
2023-02-10,0.899000043
2023-02-11,0.765000036
2023-02-12,0.609000029
2023-02-13,0.434000021
2023-02-14,0.712000034
2023-02-15,0.557000026
2023-02-16,0.371000018
2023-02-17,0.689000033
2023-02-18,0.734000035
2023-02-19,0.490000023
2023-02-20,0.697000033
2023-02-21,0.656000031
2023-02-22,1.16000006
2023-02-23,0.676000032
2023-02-24,0.724000034
2023-02-25,1.15100005
2023-02-26,1.11100005
2023-02-27,0.809000038
2023-02-28,1.08100005
2023-03-01,1.30200006
2023-03-02,1.22700006
2023-03-03,1.37900007
2023-03-04,1.05900005
2023-03-05,0.62600003
2023-03-06,0.914000043
2023-03-07,0.112000005
2023-03-08,1.07600005
2023-03-09,0.991000047
2023-03-10,1.01300005
2023-03-11,0.83500004
2023-03-12,0.937000045
2023-03-13,0.84000004
2023-03-14,-9999
2023-03-15,0.778000037
2023-03-16,0.731000035
2023-03-17,0.585000028
2023-03-18,0.531000025
2023-03-19,0.914000043
2023-03-20,0.908000043
2023-03-21,0.619000029
2023-03-22,0.465000022
2023-03-23,0.237000011
2023-03-24,0.947000045
2023-03-25,0.42200002
2023-03-26,1.11400005
2023-03-27,0.765000036
2023-03-28,0.726000034
2023-03-29,0.541000026
2023-03-30,0.452000021
2023-03-31,0.483000023
2023-04-01,1.05000005
2023-04-02,1.46600007
2023-04-03,0.84900004
2023-04-04,0.808000038
2023-04-05,0.678000032
2023-04-06,0.939000045
2023-04-07,0.750000036
2023-04-08,0.297000014
2023-04-09,0.543000026
2023-04-10,0.655000031
2023-04-11,0.574000027
2023-04-12,0.701000033
2023-04-13,0.885000042
2023-04-14,0.719000034
2023-04-15,0.454000022
2023-04-16,0.869000041
2023-04-17,0.763000036
2023-04-18,1.79100009
2023-04-19,0.710000034
2023-04-20,0.782000037
2023-04-21,0.923000044
2023-04-22,0.731000035
2023-04-23,0.699000033
2023-04-24,0.337000016
2023-04-25,0.980000047
2023-04-26,1.06800005
2023-04-27,1.25700006
2023-04-28,0.830000039
2023-04-29,0.590000028
2023-04-30,0.886000042
2023-05-01,0.84700004
2023-05-02,1.25800006
2023-05-03,-9999
2023-05-04,-9999
2023-05-05,0.891000042
2023-05-06,1.31200006
2023-05-07,1.29900006
2023-05-08,1.35000006
2023-05-09,1.47100007
2023-05-10,0.897000043
2023-05-11,1.08800005
2023-05-12,2.1000001
2023-05-13,-9999
2023-05-14,1.57700007
2023-05-15,1.83400009
2023-05-16,-9999
2023-05-17,1.61200008
2023-05-18,0.406000019
2023-05-19,0.544000026
2023-05-20,1.26600006
2023-05-21,1.83300009
2023-05-22,1.27500006
2023-05-23,1.30700006
2023-05-24,0.820000039
2023-05-25,1.27300006
2023-05-26,1.70200008
2023-05-27,0.0540000026
2023-05-28,1.28900006
2023-05-29,1.65400008
2023-05-30,1.38300007
2023-05-31,1.36900007
2023-06-01,0.487000023
2023-06-02,1.31100006
2023-06-03,2.33300011
2023-06-04,1.73300008
2023-06-05,-9999
2023-06-06,2.1890001
2023-06-07,2.36700011
2023-06-08,0.770000037
2023-06-09,1.02600005
2023-06-10,0.756000036
2023-06-11,1.79200009
2023-06-12,1.52600007
2023-06-13,0.886000042
2023-06-14,3.02500014
2023-06-15,2.0940001
2023-06-16,2.80200013
2023-06-17,-9999
2023-06-18,1.27800006
2023-06-19,1.05700005
2023-06-20,1.70600008
2023-06-21,2.36900011
2023-06-22,2.0260001
2023-06-23,-9999
2023-06-24,-9999
2023-06-25,-9999
2023-06-26,0.987000047
2023-06-27,1.59700008
2023-06-28,2.26200011
2023-06-29,1.71700008
2023-06-30,2.0170001
2023-07-01,1.92200009
2023-07-02,1.47500007
2023-07-03,1.94500009
2023-07-04,1.98000009
2023-07-05,2.48700012
2023-07-06,1.24800006
2023-07-07,1.43100007
2023-07-08,2.53000012
2023-07-09,2.0230001
2023-07-10,1.65300008
2023-07-11,1.09300005
2023-07-12,2.80100013
2023-07-13,-9999
2023-07-14,-9999
2023-07-15,1.21300006
2023-07-16,2.0790001
2023-07-17,1.96000009
2023-07-18,-9999
2023-07-19,2.82400013
2023-07-20,-9999
2023-07-21,1.79500009
2023-07-22,-9999
2023-07-23,2.36900011
2023-07-24,2.67600013
2023-07-25,2.22300011
2023-07-26,3.00500014
2023-07-27,-9999
2023-07-28,-9999
2023-07-29,1.88000009
2023-07-30,1.64200008
2023-07-31,2.22000011
2023-08-01,1.48900007
2023-08-02,2.36700011
2023-08-03,1.04200005
2023-08-04,2.41300011
