b650nm,date
2020.0,2023-06-19
1412.0,2023-06-20
2188.0,2023-06-21
1730.0,2023-06-22
2209.0,2023-06-23
2182.0,2023-06-24
1048.0,2023-06-25
2619.0,2023-06-26
1524.0,2023-06-27
2301.0,2023-06-28
1763.0,2023-06-29
2117.0,2023-06-30
2362.0,2023-07-01
1463.0,2023-07-02
2527.0,2023-07-03
1848.0,2023-07-04
2145.0,2023-07-05
2102.0,2023-07-06
1072.0,2023-07-07
2255.0,2023-07-08
1659.0,2023-07-09
2198.0,2023-07-10
2017.0,2023-07-11
2040.0,2023-07-12
2333.0,2023-07-13
1487.0,2023-07-14
2262.0,2023-07-15
1958.0,2023-07-16
2200.0,2023-07-17
2196.0,2023-07-18
1083.0,2023-07-19
2558.0,2023-07-20
1644.0,2023-07-21
2289.0,2023-07-22
1991.0,2023-07-23
1587.0,2023-07-24
2046.0,2023-07-25
1400.0,2023-07-26
2430.0,2023-07-27
1653.0,2023-07-28
2032.0,2023-07-29
2169.0,2023-07-30
1146.0,2023-07-31
2453.0,2023-08-01
2174.0,2023-08-02
2298.0,2023-08-03
1982.0,2023-08-04
2002.0,2023-08-05
2396.0,2023-08-06
1551.0,2023-08-07
2661.0,2023-08-08
1810.0,2023-08-09
2288.0,2023-08-10
2133.0,2023-08-11
1205.0,2023-08-12
2182.0,2023-08-13
6108.0,2023-08-14
1984.0,2023-08-15
2283.0,2023-08-16
1803.0,2023-08-17
4276.0,2023-08-18
3002.0,2023-08-19
7451.0,2023-08-20
1699.0,2023-08-21
2774.0,2023-08-22
2024.0,2023-08-23
1661.0,2023-08-24
2605.0,2023-08-25
2071.0,2023-08-26
2359.0,2023-08-27
4682.0,2023-08-28
5039.0,2023-08-29
2196.0,2023-08-30
1288.0,2023-08-31
2229.0,2023-09-01
1727.0,2023-09-02
1946.0,2023-09-03
1997.0,2023-09-04
1210.0,2023-09-05
2010.0,2023-09-06
1634.0,2023-09-07
2299.0,2023-09-08
1661.0,2023-09-09
2064.0,2023-09-10
2239.0,2023-09-11
1403.0,2023-09-12
2250.0,2023-09-13
1475.0,2023-09-14
2180.0,2023-09-15
2085.0,2023-09-16
1461.0,2023-09-17
2284.0,2023-09-18
1669.0,2023-09-19
2297.0,2023-09-20
1781.0,2023-09-21
3179.0,2023-09-22
2181.0,2023-09-23
1440.0,2023-09-24
2351.0,2023-09-25
1689.0,2023-09-26
2051.0,2023-09-27
2121.0,2023-09-28
1410.0,2023-09-29
2484.0,2023-09-30
4635.0,2023-10-01
3726.0,2023-10-02
2048.0,2023-10-03
1679.0,2023-10-04
2122.0,2023-10-05
1375.0,2023-10-06
3982.0,2023-10-07
2273.0,2023-10-08
2176.0,2023-10-09
2603.0,2023-10-10
1503.0,2023-10-11
1859.0,2023-10-12
1695.0,2023-10-13
2019.0,2023-10-14
2497.0,2023-10-15
6983.0,2023-10-16
2153.0,2023-10-17
1760.0,2023-10-18
8898.0,2023-10-19
1691.0,2023-10-20
1695.0,2023-10-21
1957.0,2023-10-22
1968.0,2023-10-23
1980.0,2023-10-24
1687.0,2023-10-25
2037.0,2023-10-26
1872.0,2023-10-27
1038.0,2023-10-28
1942.0,2023-10-29
3607.0,2023-10-30
4052.0,2023-10-31
1601.0,2023-11-01
1751.0,2023-11-02
1992.0,2023-11-03
1123.0,2023-11-04
2062.0,2023-11-05
1517.0,2023-11-06
1784.0,2023-11-07
1683.0,2023-11-08
1216.0,2023-11-09
2067.0,2023-11-10
5484.0,2023-11-11
4641.0,2023-11-12
3029.0,2023-11-13
9334.0,2023-11-14
1923.0,2023-11-15
1461.0,2023-11-16
4436.0,2023-11-17
1634.0,2023-11-18
15278.0,2023-11-19
1643.0,2023-11-20
1334.0,2023-11-21
2753.0,2023-11-22
1619.0,2023-11-23
2069.0,2023-11-24
4184.0,2023-11-25
2929.0,2023-11-26
1010.0,2023-11-27
6358.0,2023-11-28
2006.0,2023-11-29
1405.0,2023-11-30
1903.0,2023-12-01
1818.0,2023-12-02
1026.0,2023-12-03
1653.0,2023-12-04
4880.0,2023-12-05
1663.0,2023-12-06
1620.0,2023-12-07
7597.0,2023-12-08
8053.0,2023-12-09
1508.0,2023-12-10
2226.0,2023-12-11
1377.0,2023-12-12
3720.0,2023-12-13
1791.0,2023-12-14
1398.0,2023-12-15
2199.0,2023-12-16
2936.0,2023-12-17
1952.0,2023-12-18
1811.0,2023-12-19
1090.0,2023-12-20
5082.0,2023-12-21
9249.0,2023-12-22
4513.0,2023-12-23
3471.0,2023-12-24
2265.0,2023-12-25
1704.0,2023-12-26
1431.0,2023-12-27
1677.0,2023-12-28
1237.0,2023-12-29
1732.0,2023-12-30
11228.0,2023-12-31
1217.0,2024-01-01
891.0,2024-01-02
,2024-01-03
,2024-01-04
3925.0,2024-01-05
1536.0,2024-01-06
1777.0,2024-01-07
2538.0,2024-01-08
2063.0,2024-01-09
3778.0,2024-01-10
3291.0,2024-01-11
7031.0,2024-01-12
9884.0,2024-01-13
870.0,2024-01-14
1850.0,2024-01-15
8032.0,2024-01-16
2698.0,2024-01-17
1099.0,2024-01-18
1908.0,2024-01-19
1480.0,2024-01-20
6822.0,2024-01-21
1462.0,2024-01-22
8835.0,2024-01-23
5526.0,2024-01-24
6635.0,2024-01-25
9339.0,2024-01-26
1758.0,2024-01-27
2371.0,2024-01-28
1195.0,2024-01-29
7381.0,2024-01-30
2740.0,2024-01-31
9610.0,2024-02-01
2500.0,2024-02-02
9050.0,2024-02-03
208.0,2024-02-04
12425.0,2024-02-05
353.0,2024-02-06
2075.0,2024-02-07
1744.0,2024-02-08
,2024-02-09
1828.0,2024-02-10
1065.0,2024-02-11
2383.0,2024-02-12
7652.0,2024-02-13
4366.0,2024-02-14
4077.0,2024-02-15
6454.0,2024-02-16
1953.0,2024-02-17
1878.0,2024-02-18
7277.0,2024-02-19
1377.0,2024-02-20
2139.0,2024-02-21
1637.0,2024-02-22
2853.0,2024-02-23
3978.0,2024-02-24
1443.0,2024-02-25
1340.0,2024-02-26
1764.0,2024-02-27
1082.0,2024-02-28
1957.0,2024-02-29
1362.0,2024-03-01
1991.0,2024-03-02
2850.0,2024-03-03
3626.0,2024-03-04
1951.0,2024-03-05
3369.0,2024-03-06
2698.0,2024-03-07
1454.0,2024-03-08
2067.0,2024-03-09
1800.0,2024-03-10
1264.0,2024-03-11
2009.0,2024-03-12
1603.0,2024-03-13
2218.0,2024-03-14
907.0,2024-03-15
4676.0,2024-03-16
1927.0,2024-03-17
7481.0,2024-03-18
5481.0,2024-03-19
2195.0,2024-03-20
8932.0,2024-03-21
10779.0,2024-03-22
2854.0,2024-03-23
3292.0,2024-03-24
1707.0,2024-03-25
8656.0,2024-03-26
2058.0,2024-03-27
986.0,2024-03-28
1946.0,2024-03-29
1594.0,2024-03-30
1885.0,2024-03-31
1536.0,2024-04-01
895.0,2024-04-02
2030.0,2024-04-03
1376.0,2024-04-04
2148.0,2024-04-05
1492.0,2024-04-06
2039.0,2024-04-07
1793.0,2024-04-08
1402.0,2024-04-09
9057.0,2024-04-10
1168.0,2024-04-11
1818.0,2024-04-12
1694.0,2024-04-13
2968.0,2024-04-14
1947.0,2024-04-15
1453.0,2024-04-16
2001.0,2024-04-17
2283.0,2024-04-18
1072.0,2024-04-19
2005.0,2024-04-20
3076.0,2024-04-21
1972.0,2024-04-22
1696.0,2024-04-23
2082.0,2024-04-24
1971.0,2024-04-25
7253.0,2024-04-26
6649.0,2024-04-27
3325.0,2024-04-28
1897.0,2024-04-29
10324.0,2024-04-30
1945.0,2024-05-01
2998.0,2024-05-02
1773.0,2024-05-03
2210.0,2024-05-04
569.0,2024-05-05
4495.0,2024-05-06
4271.0,2024-05-07
1940.0,2024-05-08
2193.0,2024-05-09
1811.0,2024-05-10
3998.0,2024-05-11
7818.0,2024-05-12
4056.0,2024-05-13
2342.0,2024-05-14
1027.0,2024-05-15
1999.0,2024-05-16
1903.0,2024-05-17
1198.0,2024-05-18
2194.0,2024-05-19
1814.0,2024-05-20
1918.0,2024-05-21
2174.0,2024-05-22
1901.0,2024-05-23
2218.0,2024-05-24
1485.0,2024-05-25
2250.0,2024-05-26
1884.0,2024-05-27
,2024-05-28
3791.0,2024-05-29
1528.0,2024-05-30
2551.0,2024-05-31
1852.0,2024-06-01
1943.0,2024-06-02
1919.0,2024-06-03
1259.0,2024-06-04
2352.0,2024-06-05
1593.0,2024-06-06
2040.0,2024-06-07
2027.0,2024-06-08
1115.0,2024-06-09
2309.0,2024-06-10
1363.0,2024-06-11
2244.0,2024-06-12
1854.0,2024-06-13
1887.0,2024-06-14
2094.0,2024-06-15
1482.0,2024-06-16
2575.0,2024-06-17
1656.0,2024-06-18
2112.0,2024-06-19
2128.0,2024-06-20
5718.0,2024-06-21
2545.0,2024-06-22
1510.0,2024-06-23
2105.0,2024-06-24
2076.0,2024-06-25
1072.0,2024-06-26
2254.0,2024-06-27
1393.0,2024-06-28
2313.0,2024-06-29
2096.0,2024-06-30
2154.0,2024-07-01
2176.0,2024-07-02
1439.0,2024-07-03
2282.0,2024-07-04
1945.0,2024-07-05
2227.0,2024-07-06
2158.0,2024-07-07
976.0,2024-07-08
2748.0,2024-07-09
1771.0,2024-07-10
2248.0,2024-07-11
1904.0,2024-07-12
1325.0,2024-07-13
2725.0,2024-07-14
1688.0,2024-07-15
2324.0,2024-07-16
1989.0,2024-07-17
2073.0,2024-07-18
2016.0,2024-07-19
2096.0,2024-07-20
2571.0,2024-07-21
1804.0,2024-07-22
2030.0,2024-07-23
1908.0,2024-07-24
1445.0,2024-07-25
2728.0,2024-07-26
1906.0,2024-07-27
2333.0,2024-07-28
1969.0,2024-07-29
1231.0,2024-07-30
2520.0,2024-07-31
1767.0,2024-08-01
2400.0,2024-08-02
2088.0,2024-08-03
1052.0,2024-08-04
2257.0,2024-08-05
1458.0,2024-08-06
2412.0,2024-08-07
2010.0,2024-08-08
2082.0,2024-08-09
2323.0,2024-08-10
1283.0,2024-08-11
2400.0,2024-08-12
1843.0,2024-08-13
2404.0,2024-08-14
1958.0,2024-08-15
1269.0,2024-08-16
2453.0,2024-08-17
1728.0,2024-08-18
2032.0,2024-08-19
1442.0,2024-08-20
1143.0,2024-08-21
2321.0,2024-08-22
1414.0,2024-08-23
2337.0,2024-08-24
1807.0,2024-08-25
2259.0,2024-08-26
2235.0,2024-08-27
1466.0,2024-08-28
2461.0,2024-08-29
1765.0,2024-08-30
1702.0,2024-08-31
1888.0,2024-09-01
1310.0,2024-09-02
2444.0,2024-09-03
1706.0,2024-09-04
2286.0,2024-09-05
1640.0,2024-09-06
1195.0,2024-09-07
1997.0,2024-09-08
1503.0,2024-09-09
2242.0,2024-09-10
2004.0,2024-09-11
1208.0,2024-09-12
2155.0,2024-09-13
1552.0,2024-09-14
2580.0,2024-09-15
3179.0,2024-09-16
8040.0,2024-09-17
2040.0,2024-09-18
1174.0,2024-09-19
2377.0,2024-09-20
1234.0,2024-09-21
2564.0,2024-09-22
2011.0,2024-09-23
1278.0,2024-09-24
2252.0,2024-09-25
1774.0,2024-09-26
2330.0,2024-09-27
1697.0,2024-09-28
1462.0,2024-09-29
2260.0,2024-09-30
4047.0,2024-10-01
2427.0,2024-10-02
1792.0,2024-10-03
1309.0,2024-10-04
2113.0,2024-10-05
2855.0,2024-10-06
2583.0,2024-10-07
1791.0,2024-10-08
2033.0,2024-10-09
1976.0,2024-10-10
1496.0,2024-10-11
2471.0,2024-10-12
1685.0,2024-10-13
2250.0,2024-10-14
2050.0,2024-10-15
1216.0,2024-10-16
5170.0,2024-10-17
1607.0,2024-10-18
2474.0,2024-10-19
2046.0,2024-10-20
1366.0,2024-10-21
2200.0,2024-10-22
1556.0,2024-10-23
2106.0,2024-10-24
1849.0,2024-10-25
1073.0,2024-10-26
2051.0,2024-10-27
1493.0,2024-10-28
2232.0,2024-10-29
1631.0,2024-10-30
427.0,2024-10-31
2019.0,2024-11-01
1501.0,2024-11-02
2827.0,2024-11-03
1628.0,2024-11-04
1648.0,2024-11-05
1739.0,2024-11-06
1342.0,2024-11-07
2030.0,2024-11-08
4668.0,2024-11-09
4248.0,2024-11-10
624.0,2024-11-11
1232.0,2024-11-12
2068.0,2024-11-13
1552.0,2024-11-14
2343.0,2024-11-15
1667.0,2024-11-16
1105.0,2024-11-17
4596.0,2024-11-18
3787.0,2024-11-19
2243.0,2024-11-20
1187.0,2024-11-21
929.0,2024-11-22
1831.0,2024-11-23
7992.0,2024-11-24
4255.0,2024-11-25
7784.0,2024-11-26
6795.0,2024-11-27
2315.0,2024-11-28
4078.0,2024-11-29
1957.0,2024-11-30
1610.0,2024-12-01
2044.0,2024-12-02
1760.0,2024-12-03
5382.0,2024-12-04
7933.0,2024-12-05
1493.0,2024-12-06
5481.0,2024-12-07
1207.0,2024-12-08
1284.0,2024-12-09
1688.0,2024-12-10
2014.0,2024-12-11
6236.0,2024-12-12
1372.0,2024-12-13
1536.0,2024-12-14
1953.0,2024-12-15
1449.0,2024-12-16
2009.0,2024-12-17
1623.0,2024-12-18
1213.0,2024-12-19
2183.0,2024-12-20
1682.0,2024-12-21
4710.0,2024-12-22
6376.0,2024-12-23
8264.0,2024-12-24
1673.0,2024-12-25
1787.0,2024-12-26
4131.0,2024-12-27
5474.0,2024-12-28
7554.0,2024-12-29
166.0,2024-12-30
2250.0,2024-12-31
2140.0,2025-01-01
1579.0,2025-01-02
2051.0,2025-01-03
1191.0,2025-01-04
1171.0,2025-01-05
1865.0,2025-01-06
1357.0,2025-01-07
1832.0,2025-01-08
2996.0,2025-01-09
1067.0,2025-01-10
1521.0,2025-01-11
477.0,2025-01-12
1422.0,2025-01-13
1547.0,2025-01-14
1146.0,2025-01-15
1194.0,2025-01-16
1241.0,2025-01-17
2196.0,2025-01-18
1770.0,2025-01-19
1121.0,2025-01-20
1960.0,2025-01-21
8763.0,2025-01-22
4584.0,2025-01-23
1246.0,2025-01-24
1202.0,2025-01-25
1650.0,2025-01-26
913.0,2025-01-27
2240.0,2025-01-28
1509.0,2025-01-29
1170.0,2025-01-30
3974.0,2025-01-31
1219.0,2025-02-01
2195.0,2025-02-02
3277.0,2025-02-03
1894.0,2025-02-04
4599.0,2025-02-05
9255.0,2025-02-06
5573.0,2025-02-07
2096.0,2025-02-08
5940.0,2025-02-09
