date,ctp-night
2022-07-27,960.000014
2022-07-28,965.500014
2022-07-29,959.800014
2022-07-30,955.900014
2022-07-31,706.900011
2022-08-01,950.100014
2022-08-02,939.900014
2022-08-03,886.200013
2022-08-04,962.500014
2022-08-05,932.300014
2022-08-06,965.800014
2022-08-07,875.600013
2022-08-08,828.700012
2022-08-09,870.400013
2022-08-10,859.900013
2022-08-11,706.100011
2022-08-12,769.800011
2022-08-13,900.300013
2022-08-14,913.400014
2022-08-15,933.900014
2022-08-16,927.500014
2022-08-17,875.500013
2022-08-18,899.000013
2022-08-19,890.800013
2022-08-20,966.900014
2022-08-21,946.700014
2022-08-22,896.800013
2022-08-23,857.400013
2022-08-24,-9999
2022-08-25,973.800015
2022-08-26,931.100014
2022-08-27,966.700014
2022-08-28,892.100013
2022-08-29,943.100014
2022-08-30,881.300013
2022-08-31,840.000013
2022-09-01,771.100011
2022-09-02,755.400011
2022-09-03,933.800014
2022-09-04,946.600014
2022-09-05,913.200014
2022-09-06,854.200013
2022-09-07,888.600013
2022-09-08,963.100014
2022-09-09,927.500014
2022-09-10,825.100012
2022-09-11,799.100012
2022-09-12,941.100014
2022-09-13,834.400012
2022-09-14,840.400013
2022-09-15,777.500012
2022-09-16,900.100013
2022-09-17,949.600014
2022-09-18,825.900012
2022-09-19,825.800012
2022-09-20,806.900012
2022-09-21,871.900013
2022-09-22,883.000013
2022-09-23,828.800012
2022-09-24,850.300013
2022-09-25,822.900012
2022-09-26,848.300013
2022-09-27,800.000012
2022-09-28,836.800012
2022-09-29,-9999
2022-09-30,-9999
2022-10-01,941.900014
2022-10-02,960.000014
2022-10-03,896.600013
2022-10-04,853.200013
2022-10-05,876.200013
2022-10-06,887.600013
2022-10-07,867.200013
2022-10-08,865.200013
2022-10-09,911.800014
2022-10-10,921.100014
2022-10-11,944.300014
2022-10-12,860.700013
2022-10-13,860.000013
2022-10-14,843.600013
2022-10-15,748.500011
2022-10-16,856.500013
2022-10-17,895.400013
2022-10-18,956.900014
2022-10-19,701.10001
2022-10-20,761.300011
2022-10-21,894.700013
2022-10-22,856.800013
2022-10-23,809.000012
2022-10-24,861.200013
2022-10-25,779.200012
2022-10-26,799.300012
2022-10-27,950.300014
2022-10-28,527.200008
2022-10-29,830.000012
2022-10-30,912.400014
2022-10-31,870.700013
2022-11-01,900.300013
2022-11-02,907.500014
2022-11-03,918.000014
2022-11-04,910.800014
2022-11-05,831.700012
2022-11-06,870.200013
2022-11-07,393.700006
2022-11-08,844.300013
2022-11-09,799.300012
2022-11-10,927.400014
2022-11-11,840.900013
2022-11-12,827.000012
2022-11-13,851.400013
2022-11-14,885.800013
2022-11-15,750.500011
2022-11-16,503.100007
2022-11-17,780.700012
2022-11-18,841.900013
2022-11-19,980.000015
2022-11-20,294.200004
2022-11-21,266.700004
2022-11-22,952.100014
2022-11-23,439.900007
2022-11-24,391.200006
2022-11-25,606.700009
2022-11-26,409.900006
2022-11-27,621.300009
2022-11-28,446.400007
2022-11-29,702.00001
2022-11-30,885.200013
2022-12-01,872.500013
2022-12-02,884.800013
2022-12-03,648.80001
2022-12-04,847.800013
2022-12-05,771.000011
2022-12-06,865.100013
2022-12-07,836.100012
2022-12-08,367.300005
2022-12-09,784.600012
2022-12-10,894.000013
2022-12-11,327.300005
2022-12-12,384.900006
2022-12-13,276.600004
2022-12-14,805.000012
2022-12-15,900.100013
2022-12-16,882.100013
