date,tb-day
2022-10-26,283.039994
2022-10-27,289.109994
2022-10-28,270.199994
2022-10-29,290.379994
2022-10-30,294.149993
2022-10-31,287.709994
2022-11-01,282.459994
2022-11-02,273.739994
2022-11-03,288.589994
2022-11-04,290.819993
2022-11-05,285.969994
2022-11-06,288.359994
2022-11-07,257.019994
2022-11-08,281.669994
2022-11-09,274.029994
2022-11-10,278.569994
2022-11-11,285.169994
2022-11-12,284.199994
2022-11-13,288.719994
2022-11-14,284.149994
2022-11-15,273.149994
2022-11-16,256.599994
2022-11-17,280.989994
2022-11-18,271.459994
2022-11-19,287.249994
2022-11-20,244.499995
2022-11-21,233.739995
2022-11-22,259.549994
2022-11-23,249.789994
2022-11-24,252.339994
2022-11-25,262.379994
2022-11-26,263.959994
2022-11-27,242.239995
2022-11-28,247.849994
2022-11-29,245.999995
2022-11-30,280.709994
2022-12-01,284.899994
2022-12-02,284.809994
2022-12-03,251.319994
2022-12-04,285.859994
2022-12-05,277.329994
2022-12-06,275.589994
2022-12-07,266.579994
2022-12-08,262.659994
2022-12-09,279.389994
2022-12-10,283.849994
2022-12-11,232.299995
2022-12-12,248.769994
2022-12-13,242.179995
2022-12-14,262.499994
2022-12-15,268.679994
2022-12-16,284.709994
2022-12-17,285.879994
2022-12-18,287.609994
2022-12-19,281.799994
2022-12-20,288.559994
2022-12-21,257.179994
2022-12-22,264.709994
2022-12-23,270.079994
2022-12-24,273.779994
2022-12-25,229.849995
2022-12-26,241.549995
2022-12-27,279.559994
2022-12-28,281.419994
2022-12-29,279.189994
2022-12-30,276.669994
2022-12-31,276.499994
2023-01-01,250.109994
2023-01-02,253.719994
2023-01-03,267.119994
2023-01-04,272.389994
2023-01-05,277.179994
2023-01-06,273.999994
2023-01-07,278.709994
2023-01-08,271.399994
2023-01-09,276.699994
2023-01-10,280.979994
2023-01-11,258.249994
2023-01-12,245.279995
2023-01-13,242.799995
2023-01-14,248.319994
2023-01-15,257.319994
2023-01-16,248.849994
2023-01-17,278.859994
2023-01-18,282.169994
2023-01-19,285.959994
2023-01-20,272.399994
2023-01-21,284.759994
2023-01-22,268.799994
2023-01-23,281.469994
2023-01-24,284.259994
2023-01-25,281.849994
2023-01-26,284.469994
2023-01-27,251.479994
2023-01-28,252.199994
2023-01-29,271.129994
2023-01-30,261.599994
2023-01-31,255.979994
2023-02-01,245.879995
2023-02-02,273.469994
2023-02-03,254.269994
2023-02-04,266.089994
2023-02-05,261.139994
2023-02-06,253.599994
2023-02-07,253.089994
2023-02-08,264.919994
2023-02-09,259.579994
2023-02-10,273.249994
2023-02-11,265.719994
2023-02-12,272.019994
2023-02-13,276.159994
2023-02-14,275.049994
2023-02-15,274.059994
2023-02-16,273.199994
2023-02-17,277.659994
2023-02-18,281.289994
2023-02-19,274.829994
2023-02-20,280.549994
2023-02-21,280.149994
2023-02-22,281.519994
2023-02-23,275.819994
2023-02-24,275.459994
2023-02-25,283.489994
2023-02-26,283.789994
2023-02-27,264.179994
2023-02-28,286.019994
2023-03-01,276.289994
2023-03-02,276.029994
2023-03-03,280.749994
2023-03-04,287.269994
2023-03-05,278.839994
2023-03-06,280.559994
2023-03-07,228.109995
2023-03-08,267.409994
2023-03-09,282.599994
2023-03-10,285.159994
2023-03-11,260.309994
2023-03-12,248.059994
2023-03-13,261.639994
2023-03-14,225.879995
2023-03-15,263.119994
2023-03-16,251.259994
2023-03-17,253.889994
2023-03-18,262.409994
2023-03-19,271.239994
2023-03-20,273.719994
2023-03-21,227.269995
2023-03-22,216.269995
2023-03-23,247.029994
2023-03-24,251.889994
2023-03-25,258.449994
2023-03-26,279.869994
2023-03-27,285.239994
2023-03-28,283.559994
2023-03-29,272.479994
2023-03-30,266.629994
2023-03-31,277.739994
2023-04-01,282.689994
2023-04-02,282.339994
2023-04-03,283.529994
2023-04-04,281.209994
2023-04-05,282.949994
2023-04-06,282.529994
2023-04-07,262.399994
2023-04-08,220.559995
2023-04-09,240.209995
2023-04-10,271.659994
2023-04-11,271.289994
2023-04-12,245.699995
2023-04-13,277.939994
2023-04-14,276.589994
2023-04-15,250.879994
2023-04-16,272.849994
2023-04-17,286.259994
2023-04-18,282.009994
2023-04-19,243.329995
2023-04-20,284.639994
2023-04-21,272.409994
2023-04-22,269.439994
2023-04-23,242.039995
2023-04-24,286.849994
2023-04-25,280.889994
2023-04-26,269.789994
2023-04-27,280.509994
2023-04-28,279.479994
2023-04-29,267.149994
2023-04-30,277.729994
2023-05-01,275.599994
2023-05-02,283.299994
2023-05-03,282.609994
2023-05-04,291.229993
2023-05-05,266.019994
2023-05-06,276.009994
2023-05-07,280.659994
2023-05-08,286.059994
2023-05-09,280.899994
2023-05-10,281.629994
2023-05-11,268.149994
2023-05-12,287.239994
2023-05-13,284.789994
2023-05-14,256.359994
2023-05-15,291.639993
2023-05-16,278.859994
2023-05-17,290.859993
2023-05-18,246.999994
2023-05-19,259.799994
2023-05-20,267.979994
2023-05-21,257.759994
2023-05-22,291.279993
2023-05-23,287.859994
2023-05-24,273.049994
2023-05-25,290.569994
2023-05-26,282.229994
2023-05-27,221.089995
2023-05-28,275.209994
2023-05-29,288.419994
2023-05-30,287.279994
2023-05-31,289.069994
2023-06-01,219.359995
2023-06-02,275.069994
2023-06-03,289.389994
2023-06-04,288.189994
2023-06-05,288.279994
2023-06-06,288.869994
2023-06-07,282.099994
2023-06-08,228.289995
2023-06-09,260.359994
2023-06-10,291.379993
2023-06-11,279.649994
2023-06-12,290.329994
2023-06-13,282.269994
2023-06-14,292.489993
2023-06-15,291.289993
2023-06-16,292.709993
2023-06-17,288.179994
2023-06-18,288.969994
2023-06-19,288.469994
2023-06-20,290.809993
2023-06-21,293.439993
2023-06-22,293.859993
2023-06-23,291.839993
2023-06-24,-9999
2023-06-25,285.209994
2023-06-26,294.889993
2023-06-27,293.629993
2023-06-28,293.749993
2023-06-29,293.649993
2023-06-30,294.569993
2023-07-01,295.469993
2023-07-02,294.289993
2023-07-03,297.509993
2023-07-04,296.739993
2023-07-05,293.409993
2023-07-06,293.659993
2023-07-07,294.109993
2023-07-08,294.609993
2023-07-09,293.459993
2023-07-10,292.439993
2023-07-11,290.589994
2023-07-12,299.839993
2023-07-13,299.769993
2023-07-14,299.369993
2023-07-15,300.459993
2023-07-16,298.469993
2023-07-17,298.799993
2023-07-18,300.109993
2023-07-19,298.429993
2023-07-20,297.939993
2023-07-21,297.699993
2023-07-22,298.569993
2023-07-23,299.629993
2023-07-24,300.229993
2023-07-25,299.419993
2023-07-26,300.509993
2023-07-27,288.429994
2023-07-28,298.469993
2023-07-29,297.699993
2023-07-30,296.999993
2023-07-31,297.339993
2023-08-01,298.269993
2023-08-02,298.089993
2023-08-03,298.169993
2023-08-04,298.539993
2023-08-05,298.449993
2023-08-06,297.239993
2023-08-07,297.599993
2023-08-08,294.469993
2023-08-09,294.739993
2023-08-10,295.059993
2023-08-11,296.499993
2023-08-12,294.429993
2023-08-13,274.849994
2023-08-14,280.669994
2023-08-15,294.479993
2023-08-16,292.679993
2023-08-17,295.879993
2023-08-18,294.789993
2023-08-19,294.279993
2023-08-20,293.919993
2023-08-21,293.089993
2023-08-22,294.439993
2023-08-23,293.039993
2023-08-24,295.609993
2023-08-25,297.049993
2023-08-26,297.199993
2023-08-27,293.749993
2023-08-28,290.509994
2023-08-29,295.849993
2023-08-30,297.569993
2023-08-31,297.729993
2023-09-01,295.879993
2023-09-02,296.049993
2023-09-03,295.789993
2023-09-04,296.959993
2023-09-05,296.839993
2023-09-06,-9999
2023-09-07,299.029993
2023-09-08,299.849993
2023-09-09,294.699993
2023-09-10,294.829993
2023-09-11,287.029994
2023-09-12,282.169994
2023-09-13,285.979994
2023-09-14,287.459994
2023-09-15,290.339994
2023-09-16,-9999
2023-09-17,294.329993
2023-09-18,294.989993
2023-09-19,294.399993
2023-09-20,293.529993
2023-09-21,292.859993
2023-09-22,297.309993
2023-09-23,297.129993
2023-09-24,298.249993
2023-09-25,296.589993
2023-09-26,295.849993
2023-09-27,291.409993
2023-09-28,-9999
2023-09-29,294.529993
2023-09-30,281.509994
2023-10-01,266.119994
2023-10-02,250.429994
2023-10-03,286.139994
2023-10-04,241.999995
2023-10-05,273.969994
2023-10-06,287.039994
2023-10-07,244.419995
2023-10-08,281.319994
2023-10-09,249.239994
2023-10-10,290.129994
2023-10-11,280.219994
2023-10-12,290.509994
2023-10-13,289.709994
2023-10-14,278.409994
2023-10-15,278.709994
2023-10-16,290.249994
2023-10-17,290.759994
2023-10-18,284.559994
2023-10-19,280.459994
2023-10-20,290.249994
2023-10-21,280.039994
2023-10-22,294.829993
2023-10-23,289.769994
2023-10-24,287.329994
2023-10-25,295.459993
2023-10-26,232.879995
2023-10-27,269.289994
2023-10-28,286.899994
2023-10-29,256.789994
2023-10-30,255.939994
2023-10-31,265.389994
2023-11-01,267.519994
2023-11-02,269.199994
2023-11-03,292.889993
2023-11-04,-9999
2023-11-05,282.889994
2023-11-06,293.919993
2023-11-07,294.379993
2023-11-08,292.139993
2023-11-09,263.079994
2023-11-10,239.289995
2023-11-11,234.179995
2023-11-12,245.829995
2023-11-13,282.739994
2023-11-14,257.479994
2023-11-15,288.939994
2023-11-16,284.699994
2023-11-17,287.119994
2023-11-18,254.039994
2023-11-19,255.959994
2023-11-20,279.259994
2023-11-21,284.009994
2023-11-22,260.819994
2023-11-23,288.979994
2023-11-24,248.299994
2023-11-25,258.519994
2023-11-26,280.979994
2023-11-27,273.149994
2023-11-28,267.979994
2023-11-29,256.969994
2023-11-30,259.139994
2023-12-01,290.059994
2023-12-02,277.879994
2023-12-03,245.959995
2023-12-04,275.399994
2023-12-05,254.339994
2023-12-06,254.719994
2023-12-07,259.179994
2023-12-08,230.169995
2023-12-09,267.299994
2023-12-10,236.469995
2023-12-11,281.699994
2023-12-12,259.779994
2023-12-13,277.929994
2023-12-14,286.429994
2023-12-15,271.379994
2023-12-16,260.389994
2023-12-17,247.899994
2023-12-18,284.449994
2023-12-19,280.629994
2023-12-20,247.349994
2023-12-21,252.469994
2023-12-22,244.459995
2023-12-23,276.249994
2023-12-24,281.709994
2023-12-25,285.499994
2023-12-26,279.709994
2023-12-27,271.769994
2023-12-28,283.919994
2023-12-29,284.759994
2023-12-30,258.419994
2023-12-31,253.069994
2024-01-01,252.419994
2024-01-02,276.109994
2024-01-03,275.999994
2024-01-04,273.879994
2024-01-05,276.139994
2024-01-06,284.029994
2024-01-07,286.869994
2024-01-08,225.769995
2024-01-09,279.109994
2024-01-10,265.029994
2024-01-11,261.029994
2024-01-12,243.269995
2024-01-13,253.679994
2024-01-14,269.299994
2024-01-15,273.949994
2024-01-16,251.489994
2024-01-17,252.539994
2024-01-18,267.319994
2024-01-19,283.109994
2024-01-20,257.359994
2024-01-21,247.449994
2024-01-22,267.939994
2024-01-23,269.359994
2024-01-24,269.999994
2024-01-25,264.489994
2024-01-26,258.419994
2024-01-27,270.049994
2024-01-28,262.479994
2024-01-29,257.059994
2024-01-30,242.239995
2024-01-31,247.049994
2024-02-01,249.869994
2024-02-02,266.089994
2024-02-03,258.199994
2024-02-04,269.049994
2024-02-05,267.319994
2024-02-06,282.069994
2024-02-07,283.529994
2024-02-08,255.079994
2024-02-09,274.279994
2024-02-10,282.049994
2024-02-11,268.059994
2024-02-12,221.619995
2024-02-13,242.899995
2024-02-14,248.919994
2024-02-15,246.399994
2024-02-16,245.219995
2024-02-17,242.199995
2024-02-18,261.929994
2024-02-19,274.659994
2024-02-20,274.539994
2024-02-21,283.439994
2024-02-22,264.819994
