date,meteostat_value,evapotranspiration_value,runoff_value,radio-temp-min_value,sat_value,soil-moist_value,soil-temp_value
2022-11-25,25.0,7.41562012e-09,0.000535253261,298.692291,291.968811,0.38767305,294.447083
2022-11-26,30.1,1.13871508e-08,0.000150203807,304.196259,292.878693,0.381663114,295.59845
2022-11-29,13.6,7.70899522e-09,0.000164916288,298.289154,293.262085,0.379063487,294.662231
2022-11-30,0.5,8.16162782e-09,6.04731649e-05,302.256744,293.362885,0.376645952,295.329742
2022-12-02,0.0,9.74094849e-09,2.40713209e-08,303.682129,293.28244,0.371755213,295.171112
2022-12-06,2.1,9.62217062e-09,8.275867e-06,302.86557,292.157501,0.367091298,294.478516
2022-12-08,1.2,9.1299297e-09,2.44992748e-06,302.809021,292.751617,0.365878135,294.454254
2022-12-09,0.2,9.27674382e-09,1.32515041e-07,302.937866,292.644012,0.365166396,294.484894
2022-12-14,6.8,8.57794369e-09,6.33727905e-05,300.07959,293.384125,0.365812451,294.397156
2022-12-15,6.2,7.48278683e-09,2.9789684e-05,302.2323,293.371521,0.365822166,294.692444
2022-12-20,0.0,1.02092264e-08,0.0,302.158142,290.113617,0.365822554,293.56192
2022-12-21,21.3,6.32596775e-09,0.000143888145,298.186737,290.387146,0.367809206,291.587921
2022-12-24,2.5,7.6897857e-09,2.44109488e-05,300.286926,290.836212,0.366156906,292.205566
2022-12-25,0.5,7.34352179e-09,1.24412027e-05,296.591309,287.664764,0.370452404,291.510193
2022-12-26,17.9,4.73748019e-09,0.000179817158,291.48233,288.129303,0.37103036,289.714935
2023-01-03,0.0,1.03612061e-08,0.0,300.713074,290.480865,0.363496929,292.470367
2023-01-05,0.1,7.83549492e-09,1.19205115e-05,298.825623,290.445221,0.365299582,291.741577
2023-01-06,3.4,6.87133017e-09,0.000125212144,298.908966,290.14624,0.370329976,292.21698
2023-01-07,5.0,8.43749604e-09,8.50543729e-05,301.358124,290.230957,0.369176954,292.71579
2023-01-08,0.0,8.68374261e-09,9.84449766e-09,300.586578,289.90683,0.367836833,291.840698
2023-01-10,0.0,7.91733878e-09,2.3524442e-06,299.721344,290.107391,0.365960151,291.263947
2023-01-11,0.0,8.81907791e-09,0.0,298.767517,289.402618,0.365364075,290.970245
2023-01-13,2.3,7.17710735e-09,6.78068536e-05,295.206085,288.645416,0.368726224,290.549042
2023-01-14,3.5,6.19442808e-09,6.21700019e-05,295.045258,289.875885,0.368604183,289.666656
2023-01-15,0.5,7.01897163e-09,1.07397254e-05,297.468689,289.96994,0.368258595,290.290985
2023-01-16,2.2,7.36213446e-09,4.61802119e-05,296.997375,289.907318,0.368273139,290.996399
2023-01-18,0.2,7.25563387e-09,1.27041929e-07,301.185516,290.710114,0.366186351,291.761139
2023-01-24,0.0,8.45483594e-09,0.0,302.049774,290.495392,0.362797469,292.514374
2023-01-27,0.0,1.14728591e-08,0.0,302.545868,292.595825,0.362004042,292.961945
2023-01-28,1.0,8.49392467e-09,9.0595031e-06,301.183197,289.722809,0.363137156,293.432526
2023-01-29,0.1,7.37889616e-09,8.74190009e-05,299.485748,287.997131,0.368406087,292.193176
2023-01-30,8.5,7.56570895e-09,0.000181454656,299.184479,287.693512,0.380277783,291.406097
2023-01-31,31.9,5.08648368e-09,0.000398594217,291.369232,286.803986,0.388872117,289.410522
2023-02-01,31.3,4.50154225e-09,0.000387028558,290.701843,287.169983,0.388475507,288.436096
2023-02-02,27.3,8.14246359e-09,4.4123899e-05,296.859619,287.96283,0.382960588,289.594208
2023-02-03,2.1,9.56462021e-09,4.06335421e-05,300.767395,287.113556,0.38963902,291.556
2023-02-04,40.2,8.23261281e-09,0.000361194689,298.87381,287.945953,0.389983028,291.11557
2023-02-05,24.1,4.27417435e-09,0.000320601277,290.779419,286.835663,0.397301227,289.169067
2023-02-06,38.4,4.84612483e-09,0.000409679371,290.926117,285.389954,0.396674901,287.97226
2023-02-07,49.0,6.59516397e-09,0.000295064412,294.158875,283.503632,0.394420296,288.469818
2023-02-08,26.1,7.67351427e-09,0.000112742789,295.402222,284.5159,0.386960655,287.69043
2023-02-10,0.0,9.46894385e-09,8.00365496e-10,298.934692,286.644897,0.378915071,289.504395
2023-02-11,0.0,1.05609956e-08,0.0,300.702789,285.869904,0.377469152,290.212799
2023-02-12,0.8,8.55008331e-09,4.01089455e-05,299.615234,286.422333,0.375922561,290.194214
2023-02-14,0.1,9.9907238e-09,1.46620778e-06,300.963104,285.820221,0.373079062,290.306244
2023-02-15,0.3,9.44584855e-09,1.10699702e-05,299.655609,286.266357,0.371857196,289.818909
2023-02-16,0.0,9.94634064e-09,1.87304705e-09,300.436584,286.661407,0.370775342,289.902374
2023-02-18,0.0,8.52973248e-09,0.0,300.599518,288.161713,0.369078636,290.304321
2023-02-19,0.0,8.92275942e-09,0.0,301.813416,288.834686,0.36840114,290.931427
2023-02-20,0.0,9.59708046e-09,3.10252915e-07,301.948181,288.831665,0.367828012,291.446533
2023-02-21,0.0,1.00491597e-08,2.94497966e-07,303.052399,289.045654,0.367306322,292.753021
2023-02-23,0.0,7.39325179e-09,3.69150112e-05,299.12149,289.214355,0.368217379,292.217682
2023-02-24,0.1,9.74943593e-09,1.38078394e-05,304.308777,289.53299,0.367774874,293.471802
2023-02-25,0.1,9.46897138e-09,2.99319277e-06,303.944061,290.967224,0.367200047,293.629272
2023-03-04,0.0,1.11943663e-08,0.0,306.391693,295.076019,0.364632457,295.720428
2023-03-06,9.2,8.99052743e-09,6.79749865e-05,302.592438,289.609711,0.366925985,294.679352
